 Endgültige Ergebnisse der Landtagswahl 2021 mit Vergleichsangaben von 2016 
Wahlkreise in Baden-Württemberg
Wahlkreis;"Wahl-
jahr";"Wahl-
betei-
ligung";Stimmenanteile
;;;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;Sonstige
;;%
01 Stuttgart I;2021;69,4;44,8;17,9;3,3;9,4;10,1;7,5;7,0
;2016;74,9;42,4;18,9;7,0;10,7;9,7;7,3;3,9
02 Stuttgart II;2021;69,9;39,8;21,7;4,9;10,0;12,9;4,4;6,3
;2016;77,4;37,2;24,4;10,6;10,6;10,7;3,3;3,2
03 Stuttgart III;2021;59,9;33,9;24,3;8,0;12,2;10,6;4,8;6,2
;2016;69,9;30,7;23,5;15,3;12,9;9,1;4,4;4,1
04 Stuttgart IV;2021;59,6;35,6;21,5;5,8;13,2;9,7;7,0;7,0
;2016;68,7;34,4;22,2;12,0;13,5;8,0;5,9;3,9
05 Böblingen;2021;63,3;31,4;25,3;9,4;13,1;11,4;2,3;7,0
;2016;71,2;27,7;27,6;16,5;13,8;8,9;2,4;3,1
06 Leonberg;2021;68,7;32,7;26,0;8,2;10,6;11,7;2,3;8,5
;2016;75,1;31,9;27,4;14,9;11,3;9,5;2,2;2,9
07 Esslingen;2021;65,6;35,7;23,8;7,2;14,2;9,4;3,8;6,0
;2016;73,6;32,3;26,0;12,2;16,4;6,8;2,8;3,4
08 Kirchheim;2021;67,3;33,1;24,4;9,5;12,6;10,3;2,8;7,2
;2016;74,4;30,5;26,5;14,2;14,1;8,2;1,8;4,6
09 Nürtingen;2021;67,7;38,8;21,6;9,1;9,2;11,6;2,6;7,2
;2016;74,9;34,9;25,2;14,4;10,5;9,1;2,1;3,7
10 Göppingen;2021;60,0;28,8;26,5;12,3;12,3;8,9;2,1;9,1
;2016;68,5;29,1;23,4;17,4;14,8;8,3;2,1;4,9
11 Geislingen;2021;65,6;27,5;27,9;11,5;14,4;10,3;2,3;6,0
;2016;72,6;27,8;28,2;16,0;15,3;7,6;1,8;3,4
12 Ludwigsburg;2021;64,2;34,6;22,2;8,7;12,1;11,2;4,2;7,1
;2016;71,5;33,5;23,2;15,0;13,0;8,9;2,9;3,5
13 Vaihingen;2021;69,2;34,9;24,8;8,6;9,2;11,1;2,7;8,7
;2016;75,9;33,1;27,0;14,1;11,5;9,0;2,2;3,1
14 Bietigheim-Bissingen;2021;66,6;34,2;24,5;9,2;10,6;10,9;2,8;7,8
;2016;74,5;32,1;25,7;15,0;13,0;9,2;2,3;2,8
15 Waiblingen;2021;65,2;30,0;25,1;8,1;10,8;13,3;3,1;9,6
;2016;73,4;27,8;26,2;14,7;13,8;11,4;2,7;3,4
16 Schorndorf;2021;67,7;29,7;24,2;9,9;10,4;16,3;2,6;6,8
;2016;74,8;27,1;25,8;15,4;12,6;12,6;2,2;4,3
17 Backnang;2021;64,0;24,0;23,2;12,1;19,0;10,5;2,4;8,7
;2016;72,2;22,3;27,7;19,7;15,7;8,0;2,1;4,5
18 Heilbronn;2021;60,3;30,0;23,0;12,0;11,6;12,3;3,6;7,6
;2016;66,2;27,1;22,7;18,2;15,0;10,2;2,9;3,9
19 Eppingen;2021;65,4;26,3;24,5;13,7;11,1;13,4;2,6;8,3
;2016;72,0;26,1;26,6;18,3;13,4;9,6;2,1;3,9
20 Neckarsulm;2021;64,5;27,4;25,0;13,9;12,7;9,9;3,0;8,1
;2016;70,5;23,8;25,8;18,7;17,6;8,1;2,5;3,5
21 Hohenlohe;2021;62,9;28,7;24,4;14,1;11,9;10,9;2,8;7,2
;2016;69,9;27,1;28,1;17,1;11,5;10,0;2,4;3,8
22 Schwäbisch Hall;2021;61,5;28,7;23,2;12,5;11,3;13,1;3,3;7,8
;2016;67,5;27,5;23,0;17,8;14,0;11,3;2,4;4,1
23 Main-Tauber;2021;63,8;27,1;29,5;10,6;10,4;8,4;2,4;11,4
;2016;70,3;21,3;35,4;17,2;11,5;7,5;2,8;4,4
24 Heidenheim;2021;60,1;25,8;22,4;11,4;20,2;7,6;2,6;10,0
;2016;66,1;26,1;25,1;17,2;19,4;5,7;2,9;3,5
25 Schwäbisch Gmünd;2021;64,1;30,1;25,8;12,0;10,8;10,8;3,4;7,0
;2016;71,0;25,6;31,4;16,2;13,6;7,1;2,8;3,3
26 Aalen;2021;63,9;25,0;29,8;9,5;10,0;9,1;2,7;13,9
;2016;70,6;25,9;35,4;14,5;12,0;6,2;3,1;2,9
27 Karlsruhe I;2021;63,9;39,1;17,5;6,7;11,8;8,2;6,9;9,8
;2016;71,2;36,2;21,2;12,0;13,2;7,7;4,8;4,9
28 Karlsruhe II;2021;58,9;38,6;18,4;7,5;12,0;7,3;6,7;9,4
;2016;67,5;35,1;21,0;13,9;13,4;6,7;4,9;5,0
29 Bruchsal;2021;63,8;26,3;27,1;13,2;11,8;9,7;2,6;9,3
;2016;71,0;24,2;30,0;19,7;11,9;8,2;2,4;3,7
30 Bretten;2021;65,9;32,0;23,0;11,2;10,8;11,4;2,8;8,7
;2016;72,1;27,5;27,2;18,5;12,1;8,3;2,2;4,2
31 Ettlingen;2021;67,6;33,5;24,2;9,5;11,8;10,2;2,8;7,9
;2016;73,9;29,5;28,8;14,1;13,8;8,5;2,5;2,8
32 Rastatt;2021;59,7;30,3;23,8;12,6;13,6;8,0;2,8;8,9
;2016;67,3;26,4;25,6;17,6;17,6;6,2;2,3;4,3
33 Baden-Baden;2021;63,4;32,6;27,8;8,9;11,1;8,8;2,7;8,1
;2016;68,6;32,7;29,3;14,5;10,0;8,5;2,4;2,6
34 Heidelberg;2021;67,3;41,7;15,3;5,2;12,7;7,0;8,4;9,8
;2016;70,4;41,0;19,2;10,9;12,1;8,0;6,1;2,6
35 Mannheim I;2021;51,3;27,8;15,2;12,7;21,7;6,7;6,2;9,7
;2016;58,8;21,9;17,2;23,0;22,2;6,0;5,1;4,6
36 Mannheim II;2021;61,8;35,9;16,7;7,9;15,9;9,3;5,5;8,7
;2016;65,7;31,4;20,9;14,4;16,8;8,4;4,5;3,6
37 Wiesloch;2021;63,4;29,7;26,6;11,2;12,1;9,4;2,8;8,3
;2016;71,0;28,2;28,4;18,6;12,3;7,4;2,6;2,4
38 Neckar-Odenwald;2021;62,1;23,7;31,6;12,3;12,2;7,9;2,4;9,9
;2016;68,5;19,7;34,2;18,0;15,2;7,0;2,3;3,6
39 Weinheim;2021;67,5;35,6;22,6;7,9;13,4;8,6;3,6;8,4
;2016;73,7;29,2;25,8;15,2;15,3;8,8;3,0;2,7
40 Schwetzingen;2021;62,0;31,3;23,6;10,4;14,8;8,2;3,1;8,5
;2016;70,5;26,6;25,0;19,1;15,4;7,0;3,0;3,8
41 Sinsheim;2021;63,4;29,3;25,9;11,0;13,8;9,1;2,9;8,1
;2016;71,1;26,8;26,6;18,0;15,0;7,7;2,7;3,3
42 Pforzheim;2021;54,0;26,2;20,1;15,8;10,1;16,1;3,3;8,3
;2016;64,2;24,1;22,4;24,2;11,4;10,6;3,4;4,0
43 Calw;2021;63,7;27,1;28,8;13,5;7,8;10,0;2,7;10,1
;2016;71,1;24,3;31,5;19,1;11,6;8,1;2,2;3,3
44 Enz;2021;66,3;30,9;19,5;12,9;9,5;17,0;2,3;7,9
;2016;74,4;26,9;24,7;19,2;12,3;10,4;2,0;4,5
45 Freudenstadt;2021;62,2;24,7;27,3;13,2;8,4;14,8;2,2;9,4
;2016;69,4;21,3;30,3;17,6;10,8;13,5;1,9;4,7
46 Freiburg I;2021;70,6;40,2;19,4;5,1;11,2;7,5;6,8;9,8
;2016;73,5;38,9;25,6;8,4;11,7;7,5;4,8;3,1
47 Freiburg II;2021;64,5;40,3;13,3;5,8;12,7;5,9;11,2;10,9
;2016;69,2;40,5;17,2;10,6;13,8;6,1;7,7;4,1
48 Breisgau;2021;66,2;37,7;23,9;7,0;10,3;9,0;3,7;8,3
;2016;72,2;35,1;27,8;11,5;12,2;7,4;2,6;3,4
49 Emmendingen;2021;65,0;36,2;21,8;7,2;11,5;10,1;3,4;9,8
;2016;71,3;35,5;24,5;11,6;13,4;7,5;2,7;4,8
50 Lahr;2021;61,0;33,1;24,5;10,0;10,4;10,2;2,6;9,2
;2016;65,9;30,7;28,0;15,0;13,0;6,7;2,4;4,2
51 Offenburg;2021;61,8;36,8;25,4;8,3;8,6;8,9;2,9;9,0
;2016;68,4;33,7;28,4;14,1;10,6;7,4;2,2;3,6
52 Kehl;2021;61,4;31,4;27,1;9,7;8,7;9,4;2,6;11,0
;2016;66,5;28,8;30,8;15,0;12,2;8,1;2,3;2,9
53 Rottweil;2021;64,3;26,0;26,7;12,8;7,3;16,2;2,6;8,3
;2016;69,7;26,0;33,0;16,4;8,6;8,5;1,9;5,6
54 Villingen-Schwenningen;2021;60,6;34,6;22,5;11,3;9,1;12,2;2,4;7,8
;2016;67,9;31,6;29,0;14,8;10,0;7,9;2,0;4,6
55 Tuttlingen-Donaueschingen;2021;60,2;28,1;29,3;12,9;6,9;13,4;2,6;6,8
;2016;68,8;27,0;33,7;15,9;8,8;8,3;2,1;4,1
56 Konstanz;2021;63,2;42,1;18,2;5,8;8,4;12,1;5,4;8,1
;2016;70,8;39,6;22,6;9,4;12,2;9,1;3,9;3,2
57 Singen;2021;58,5;32,1;21,5;11,3;12,3;11,7;3,0;8,1
;2016;66,6;28,8;27,8;15,7;12,8;8,3;2,2;4,5
58 Lörrach;2021;60,0;35,8;21,4;7,9;12,6;10,3;3,0;9,0
;2016;64,9;31,7;25,2;13,2;16,7;6,5;2,7;4,0
59 Waldshut;2021;56,6;37,1;22,9;9,9;9,6;10,2;2,7;7,6
;2016;64,5;30,4;30,8;12,3;12,3;7,4;2,2;4,5
60 Reutlingen;2021;63,6;36,2;22,0;9,5;10,2;11,3;3,7;7,1
;2016;71,2;31,2;23,9;15,1;14,2;8,4;3,4;3,8
61 Hechingen-Münsingen;2021;64,5;31,6;25,0;12,2;8,9;12,6;2,6;7,1
;2016;72,5;27,8;28,5;16,1;11,2;11,4;2,2;2,8
62 Tübingen;2021;70,5;39,0;20,5;6,5;11,6;7,6;6,7;8,1
;2016*);75,1;38,0;23,5;10,2;12,7;6,4;5,4;3,7
63 Balingen;2021;61,5;26,5;32,6;12,2;7,8;10,0;2,4;8,5
;2016*);68,0;29,0;29,5;17,9;9,9;8,1;2,3;3,2
64 Ulm;2021;63,4;36,5;22,9;7,4;13,2;7,8;4,3;7,9
;2016;67,0;33,0;25,2;13,0;14,7;7,3;2,9;3,9
65 Ehingen;2021;66,5;29,5;35,9;10,1;7,0;8,2;2,1;7,2
;2016;71,7;27,6;36,2;16,0;9,1;6,5;1,6;3,1
66 Biberach;2021;65,1;28,9;34,1;10,0;5,8;8,1;2,2;10,9
;2016;71,3;29,4;35,9;15,0;7,3;7,2;1,9;3,3
67 Bodensee;2021;67,1;36,8;21,9;8,6;8,5;13,3;3,1;7,8
;2016;72,0;35,7;27,4;12,4;10,1;9,1;2,7;2,5
68 Wangen;2021;63,8;31,3;30,6;9,5;6,5;8,9;2,7;10,6
;2016;68,9;30,3;35,1;13,9;7,5;6,1;1,9;5,1
69 Ravensburg;2021;65,3;33,1;23,7;8,7;8,2;11,5;3,4;11,4
;2016;70,3;33,1;31,0;12,1;8,5;9,1;2,5;3,8
70 Sigmaringen;2021;63,3;32,6;27,8;11,2;6,2;12,1;2,4;7,6
;2016;69,6;33,7;32,3;14,7;6,8;7,5;1,8;3,2
 *) Umgerechnet auf die geänderte Wahlkreiseinteilung 
© Statistisches Landesamt Baden-Württemberg, 2021 
